"","mach","narc","psyc"
"699",29,-1,8
"700",39,17,21
"701",25,2,2
"702",21,9,11
"703",22,5,1
"704",28,16,10
"705",18,-9,3
"706",32,12,18
"707",38,3,18
"708",31,17,10
"709",41,3,16
"710",38,12,19
"711",33,0,13
"712",33,12,12
"713",38,7,16
"714",39,22,26
"715",39,15,17
"716",44,17,24
"717",44,19,32
"718",17,3,-1
"719",24,7,10
"720",27,11,6
"721",35,7,19
"722",34,13,14
"723",37,9,19
"724",39,6,11
"725",35,13,16
"726",44,17,30
"727",26,15,3
"728",25,3,7
"729",29,6,12
"730",43,14,26
"731",40,13,16
"732",41,13,23
"733",24,9,17
"734",36,2,9
"735",33,10,14
"736",39,19,13
"737",38,18,15
"738",26,11,9
"739",30,2,3
"740",31,13,10
"741",20,-5,2
"742",34,2,11
"743",35,15,18
"744",35,10,20
"745",33,13,24
"746",40,13,12
"747",20,-5,-3
"748",23,-8,-2
"749",36,18,15
"750",25,-1,1
"751",33,3,11
"752",44,18,31
"753",42,4,16
"754",43,24,24
"755",17,1,7
"756",41,16,18
"757",38,10,15
"758",38,-4,6
"759",36,5,13
"760",26,13,11
"761",32,22,15
"762",40,-1,13
"763",41,6,4
"764",37,22,12
"765",10,-5,-3
"766",26,3,8
"767",30,10,11
"768",41,8,21
"769",34,7,9
"770",36,15,16
"771",38,-1,3
"772",37,13,20
"773",40,14,21
"774",39,21,20
"775",34,-1,12
"776",39,12,14
"777",29,9,5
"778",22,4,6
"779",32,17,16
"780",32,8,14
"781",42,23,28
"782",35,-7,9
"783",43,24,24
"784",25,11,5
"785",31,13,13
"786",23,14,6
"787",37,12,16
"788",17,3,8
"789",29,16,3
"790",41,13,21
"791",42,3,20
"792",38,11,21
"793",37,16,29
"794",26,10,20
"795",37,10,11
"796",33,18,11
"797",37,18,13
"798",33,18,11
"799",34,7,17
"800",21,12,6
"801",24,4,10
"802",29,8,12
"803",37,15,24
"804",33,8,8
"805",15,14,8
"806",41,21,21
"807",41,18,8
"808",32,4,18
"809",23,1,5
"810",29,14,-2
"811",38,6,15
"812",34,12,11
"813",31,20,13
"814",45,23,21
"815",28,4,7
"816",38,13,21
"817",38,13,21
"818",37,8,22
"819",35,9,4
"820",29,1,7
"821",32,13,17
"822",41,14,20
"823",30,-3,14
"824",35,4,14
"825",33,14,20
"826",38,8,14
"827",31,8,16
"828",38,8,12
"829",34,16,17
"830",40,12,16
"831",37,12,22
"832",31,12,12
"833",27,4,10
"834",20,9,21
"835",38,15,7
"836",27,13,8
"837",27,1,6
"838",40,17,31
"839",39,14,25
"840",45,24,28
"841",35,16,19
"842",38,25,30
"843",32,10,19
"844",32,1,7
"845",38,2,9
"846",19,5,8
"847",39,14,15
"848",39,9,16
"849",37,5,5
"850",35,-1,14
"851",39,21,22
"852",32,12,7
"853",38,23,23
"854",40,20,26
"855",36,13,9
"856",39,10,15
"857",37,19,18
"858",40,11,14
"859",32,16,20
"860",33,27,21
"861",24,-1,2
"862",45,18,28
"863",43,15,17
"864",30,11,7
"865",37,23,17
"866",41,21,26
"867",39,2,15
"868",36,19,16
"869",27,14,7
"870",31,11,18
"871",26,16,7
"872",17,-4,7
"873",36,8,8
"874",29,-4,11
"875",41,21,18
"876",45,18,24
"877",14,3,-3
"878",43,14,16
"879",36,0,8
"880",26,15,2
"881",41,13,30
"882",40,14,21
"883",37,11,12
"884",31,3,-1
"885",33,13,21
"886",37,19,6
"887",28,6,7
"888",40,16,27
"889",27,19,5
"890",39,5,20
"891",22,0,9
"892",43,21,19
"893",33,9,1
"894",32,16,10
"895",42,19,18
"896",42,9,10
"897",40,5,12
"898",27,3,10
"899",33,8,4
"900",27,9,13
"901",37,12,20
"902",34,14,17
"903",38,14,22
"904",40,10,21
"905",0,0,0
"906",31,11,7
"907",43,19,15
"908",30,11,11
"909",29,7,10
"910",27,13,8
"911",34,13,16
"912",45,27,29
"913",41,17,23
"914",37,19,13
"915",44,4,17
"916",32,9,7
"917",43,9,18
"918",23,-4,5
"919",45,10,21
"920",34,6,10
"921",44,12,26
"922",37,8,21
"923",41,24,29
"924",41,22,28
"925",34,4,14
"926",37,13,21
"927",31,6,15
"928",40,6,8
"929",23,12,13
"930",33,10,10
"931",23,6,10
"932",31,2,6
"933",38,10,13
"934",33,6,17
"935",38,11,14
"936",41,12,24
"937",33,11,8
"938",41,19,25
"939",29,4,10
"940",17,-5,1
"941",37,15,20
"942",37,7,7
"943",31,13,14
"944",25,2,6
"945",34,20,23
"946",40,22,26
"947",33,11,22
"948",21,6,1
"949",34,12,11
"950",36,6,7
"951",40,9,19
"952",15,7,5
"953",41,4,22
"954",31,9,18
"955",36,11,13
"956",41,16,16
"957",35,19,13
"958",40,15,15
"959",30,14,15
"960",42,21,22
"961",40,21,17
"962",31,12,15
"963",31,5,5
"964",36,12,22
"965",42,13,22
"966",37,25,27
"967",39,15,17
"968",30,8,11
"969",40,7,19
"970",25,5,7
"971",33,9,16
"972",41,18,25
"973",39,10,20
"974",30,10,8
"975",42,12,28
"976",40,7,18
"977",40,19,28
"978",23,6,4
"979",23,3,5
"980",23,2,-1
"981",45,15,25
"982",36,8,11
"983",41,1,19
"984",42,21,23
"985",30,0,13
"986",29,1,10
"987",42,10,17
"988",36,24,17
"989",34,7,13
"990",39,21,17
"991",43,17,22
"992",43,24,19
"993",40,17,19
"994",21,8,-1
"995",24,17,0
"996",44,2,27
"997",27,2,18
"998",25,17,9
"999",43,23,16
"1000",33,4,19
"1001",22,6,7
"1002",31,12,6
"1003",28,7,12
"1004",39,26,25
"1005",35,4,18
"1006",37,12,12
"1007",31,9,10
"1008",34,13,19
"1009",37,11,10
"1010",26,10,9
"1011",29,11,11
"1012",40,6,8
"1013",42,13,14
"1014",26,1,0
"1015",42,17,30
"1016",36,11,24
"1017",31,1,4
"1018",36,0,26
"1019",33,11,8
"1020",27,5,10
"1021",37,13,12
"1022",30,13,14
"1023",34,2,13
"1024",35,9,10
"1025",27,11,16
"1026",38,8,13
"1027",35,13,4
"1028",22,11,5
"1029",44,20,31
"1030",39,13,16
"1031",24,3,5
"1032",32,12,5
"1033",42,20,31
"1034",37,8,10
"1035",36,22,4
"1036",37,-1,14
"1037",42,-1,18
"1038",26,6,4
"1039",33,8,16
"1040",36,10,17
"1041",39,-3,14
"1042",33,8,16
"1043",38,9,12
"1044",31,9,10
"1045",41,8,15
"1046",30,1,6
"1047",28,9,3
"1048",30,1,9
"1049",19,-3,1
"1050",35,15,4
"1051",43,9,28
"1052",30,13,8
"1053",30,10,11
"1054",21,4,9
"1055",45,1,32
"1056",42,10,13
"1057",28,9,9
"1058",28,7,7
"1059",34,5,12
"1060",36,3,6
"1061",36,13,22
"1062",34,5,10
"1063",43,2,24
"1064",38,12,10
"1065",30,5,10
"1066",37,10,10
"1067",40,19,25
"1068",20,-2,-1
"1069",35,9,16
"1070",40,8,15
"1071",38,15,22
"1072",34,14,11
"1073",40,19,18
"1074",36,10,13
"1075",36,11,16
"1076",43,15,28
"1077",23,9,6
"1078",37,11,10
"1079",36,3,12
"1080",22,0,7
"1081",37,16,16
"1082",29,14,10
"1083",43,10,14
"1084",37,9,20
"1085",37,21,23
"1086",34,18,18
"1087",26,0,0
"1088",42,10,14
"1089",35,6,15
"1090",24,7,10
"1091",25,6,10
"1092",20,-6,-1
"1093",33,12,14
"1094",29,6,3
"1095",36,11,14
"1096",32,17,16
"1097",27,-2,4
"1098",34,14,14
"1099",29,5,16
"1100",40,8,20
"1101",35,-1,8
"1102",27,6,7
"1103",30,11,16
"1104",21,2,5
"1105",36,19,10
"1106",38,18,16
"1107",31,12,14
"1108",18,-2,-1
"1109",45,27,29
"1110",27,7,11
"1111",30,6,12
"1112",35,11,13
"1113",23,-2,11
"1114",44,10,23
"1115",23,4,18
"1116",28,0,12
"1117",26,6,17
"1118",27,2,6
"1119",23,17,8
"1120",37,22,20
"1121",31,14,12
"1122",28,3,8
"1123",19,-2,1
"1124",41,4,9
"1125",37,5,13
"1126",38,8,16
"1127",41,23,30
"1128",24,4,10
"1129",42,10,20
"1130",39,8,13
"1131",38,8,25
"1132",22,0,7
"1133",33,13,17
"1134",39,4,8
"1135",37,9,18
"1136",17,1,5
"1137",31,10,14
"1138",34,5,16
"1139",32,14,12
"1140",42,23,20
"1141",35,21,17
"1142",35,18,11
"1143",38,16,11
"1144",32,13,15
"1145",28,4,13
"1146",42,11,14
"1147",30,14,12
"1148",27,7,10
"1149",37,2,18
"1150",45,16,24
"1151",34,9,25
"1152",19,5,7
"1153",22,3,13
"1154",42,15,10
"1155",31,8,11
"1156",30,-1,13
"1157",28,1,9
"1158",28,18,10
"1159",26,9,5
"1160",45,-3,33
"1161",35,5,14
"1162",26,5,15
"1163",18,5,7
"1164",43,5,11
"1165",32,12,10
"1166",34,9,6
"1167",29,13,12
"1168",31,5,16
"1169",38,22,16
"1170",43,12,16
"1171",39,18,27
"1172",37,16,30
"1173",22,5,7
"1174",35,12,13
"1175",19,8,6
"1176",29,5,14
"1177",40,7,8
"1178",41,13,26
"1179",36,2,10
"1180",20,0,0
"1181",35,8,20
"1182",34,7,8
"1183",35,8,9
"1184",40,8,19
"1185",42,21,26
"1186",45,12,25
"1187",37,15,16
"1188",39,4,10
"1189",41,17,24
"1190",31,11,15
"1191",39,23,19
"1192",42,12,22
"1193",38,15,17
"1194",39,14,22
"1195",26,-3,8
"1196",21,6,3
"1197",12,1,2
"1198",24,8,6
"1199",28,13,8
"1200",40,11,14
"1201",33,-7,2
"1202",24,3,-1
"1203",15,-5,-1
"1204",34,4,10
"1205",31,0,5
"1206",36,-1,9
"1207",39,9,4
"1208",43,27,22
"1209",29,15,10
"1210",41,22,22
"1211",45,13,3
"1212",31,2,15
"1213",35,5,14
"1214",27,6,13
"1215",38,17,29
"1216",30,20,21
"1217",30,17,10
"1218",45,23,27
"1219",37,22,11
"1220",24,-9,5
"1221",40,7,16
"1222",34,11,6
"1223",28,17,11
"1224",29,8,10
"1225",28,0,10
"1226",35,19,18
"1227",40,24,24
"1228",33,18,17
"1229",35,8,10
